sensor_id,timestamp,temperature,humidity,location
SENS-001,2024-01-01T00:00:00,22.5,55.2,Warehouse-A
SENS-002,2024-01-01T00:00:00,31.8,60.1,Warehouse-B
SENS-003,2024-01-01T00:00:00,21.0,48.3,Office-1
SENS-004,2024-01-01T00:00:00,38.7,72.4,Server-Room
SENS-005,2024-01-01T00:00:00,24.3,51.0,Warehouse-A
SENS-001,2024-01-01T00:05:00,23.1,54.8,Warehouse-A
SENS-002,2024-01-01T00:05:00,32.4,61.5,Warehouse-B
SENS-003,2024-01-01T00:05:00,21.5,47.9,Office-1
SENS-004,2024-01-01T00:05:00,39.2,73.1,Server-Room
SENS-005,2024-01-01T00:05:00,25.0,50.6,Warehouse-A
SENS-001,2024-01-01T00:10:00,23.8,54.5,Warehouse-A
SENS-002,2024-01-01T00:10:00,33.1,62.0,Warehouse-B
SENS-003,2024-01-01T00:10:00,22.0,47.5,Office-1
SENS-004,2024-01-01T00:10:00,40.5,74.0,Server-Room
SENS-005,2024-01-01T00:10:00,25.7,50.2,Warehouse-A
SENS-001,2024-01-01T00:15:00,24.5,54.1,Warehouse-A
SENS-002,2024-01-01T00:15:00,33.8,62.8,Warehouse-B
SENS-003,2024-01-01T00:15:00,22.4,47.0,Office-1
SENS-004,2024-01-01T00:15:00,41.2,74.8,Server-Room
SENS-005,2024-01-01T00:15:00,26.3,49.8,Warehouse-A
SENS-001,2024-01-01T00:20:00,25.2,53.7,Warehouse-A
SENS-002,2024-01-01T00:20:00,34.5,63.5,Warehouse-B
SENS-003,2024-01-01T00:20:00,22.9,46.6,Office-1
SENS-004,2024-01-01T00:20:00,41.9,75.5,Server-Room
SENS-005,2024-01-01T00:20:00,27.0,49.4,Warehouse-A
SENS-001,2024-01-01T00:25:00,25.9,53.3,Warehouse-A
SENS-002,2024-01-01T00:25:00,35.2,64.2,Warehouse-B
SENS-003,2024-01-01T00:25:00,23.4,46.2,Office-1
SENS-004,2024-01-01T00:25:00,42.6,76.2,Server-Room
SENS-005,2024-01-01T00:25:00,27.7,49.0,Warehouse-A
SENS-001,2024-01-01T00:30:00,26.6,52.9,Warehouse-A
SENS-002,2024-01-01T00:30:00,35.9,64.9,Warehouse-B
SENS-003,2024-01-01T00:30:00,23.9,45.8,Office-1
SENS-004,2024-01-01T00:30:00,43.3,76.9,Server-Room
SENS-005,2024-01-01T00:30:00,28.4,48.6,Warehouse-A
SENS-001,2024-01-01T00:35:00,27.3,52.5,Warehouse-A
SENS-002,2024-01-01T00:35:00,36.6,65.6,Warehouse-B
SENS-003,2024-01-01T00:35:00,24.4,45.4,Office-1
SENS-004,2024-01-01T00:35:00,44.0,77.6,Server-Room
SENS-005,2024-01-01T00:35:00,29.1,48.2,Warehouse-A
SENS-001,2024-01-01T00:40:00,28.0,52.1,Warehouse-A
SENS-002,2024-01-01T00:40:00,37.3,66.3,Warehouse-B
SENS-003,2024-01-01T00:40:00,24.9,45.0,Office-1
SENS-004,2024-01-01T00:40:00,44.7,78.3,Server-Room
SENS-005,2024-01-01T00:40:00,29.8,47.8,Warehouse-A
SENS-001,2024-01-01T00:45:00,28.7,51.7,Warehouse-A
SENS-002,2024-01-01T00:45:00,38.0,67.0,Warehouse-B
SENS-003,2024-01-01T00:45:00,25.4,44.6,Office-1
SENS-004,2024-01-01T00:45:00,45.4,79.0,Server-Room
SENS-005,2024-01-01T00:45:00,30.5,47.4,Warehouse-A
SENS-001,2024-01-01T00:50:00,29.4,51.3,Warehouse-A
SENS-002,2024-01-01T00:50:00,38.7,67.7,Warehouse-B
SENS-003,2024-01-01T00:50:00,25.9,44.2,Office-1
SENS-004,2024-01-01T00:50:00,43.1,78.5,Server-Room
SENS-005,2024-01-01T00:50:00,31.2,47.0,Warehouse-A
SENS-001,2024-01-01T00:55:00,30.1,50.9,Warehouse-A
SENS-002,2024-01-01T00:55:00,37.4,67.2,Warehouse-B
SENS-003,2024-01-01T00:55:00,26.4,43.8,Office-1
SENS-004,2024-01-01T00:55:00,41.8,78.0,Server-Room
SENS-005,2024-01-01T00:55:00,31.9,46.6,Warehouse-A
SENS-001,2024-01-01T01:00:00,30.8,50.5,Warehouse-A
SENS-002,2024-01-01T01:00:00,36.1,66.7,Warehouse-B
SENS-003,2024-01-01T01:00:00,26.9,43.4,Office-1
SENS-004,2024-01-01T01:00:00,40.5,77.5,Server-Room
SENS-005,2024-01-01T01:00:00,32.6,46.2,Warehouse-A
SENS-001,2024-01-01T01:05:00,29.5,51.0,Warehouse-A
SENS-002,2024-01-01T01:05:00,34.8,66.2,Warehouse-B
SENS-003,2024-01-01T01:05:00,25.6,44.0,Office-1
SENS-004,2024-01-01T01:05:00,39.2,77.0,Server-Room
SENS-005,2024-01-01T01:05:00,31.3,46.8,Warehouse-A
SENS-001,2024-01-01T01:10:00,28.2,51.5,Warehouse-A
SENS-002,2024-01-01T01:10:00,33.5,65.7,Warehouse-B
SENS-003,2024-01-01T01:10:00,24.3,44.6,Office-1
SENS-004,2024-01-01T01:10:00,37.9,76.5,Server-Room
SENS-005,2024-01-01T01:10:00,30.0,47.4,Warehouse-A
